# OpenSignals Text File Format. Version 1
# {"98:D3:B1:FD:3D:A9": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:B1:FD:3D:A9", "device connection": "BTH98:D3:B1:FD:3D:A9", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2023-9-8", "time": "10:3:9.345", "channels": [1], "sensor": ["RAW"], "label": ["A1"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	511	
1	0	0	0	0	512	
2	0	0	0	0	512	
3	0	0	0	0	510	
4	0	0	0	0	512	
5	0	0	0	0	508	
6	0	0	0	0	511	
7	0	0	0	0	514	
8	0	0	0	0	510	
9	0	0	0	0	510	
10	0	0	0	0	512	
11	0	0	0	0	510	
12	0	0	0	0	512	
13	0	0	0	0	508	
14	0	0	0	0	512	
15	0	0	0	0	513	
0	0	0	0	0	511	
1	0	0	0	0	511	
2	0	0	0	0	511	
3	0	0	0	0	513	
4	0	0	0	0	511	
5	0	0	0	0	509	
6	0	0	0	0	512	
7	0	0	0	0	511	
8	0	0	0	0	512	
9	0	0	0	0	510	
10	0	0	0	0	509	
11	0	0	0	0	515	
12	0	0	0	0	509	
13	0	0	0	0	512	
14	0	0	0	0	511	
15	0	0	0	0	510	
0	0	0	0	0	513	
1	0	0	0	0	509	
2	0	0	0	0	511	
3	0	0	0	0	513	
4	0	0	0	0	509	
5	0	0	0	0	513	
6	0	0	0	0	511	
7	0	0	0	0	508	
8	0	0	0	0	511	
9	0	0	0	0	509	
10	0	0	0	0	512	
11	0	0	0	0	509	
12	0	0	0	0	511	
13	0	0	0	0	509	
14	0	0	0	0	509	
15	0	0	0	0	515	
0	0	0	0	0	509	
1	0	0	0	0	510	
2	0	0	0	0	511	
3	0	0	0	0	510	
4	0	0	0	0	511	
5	0	0	0	0	508	
6	0	0	0	0	509	
7	0	0	0	0	517	
8	0	0	0	0	511	
9	0	0	0	0	511	
